uprava,opstina,naselje,ustanova,naziv,ulica,broj,postanski_broj,tip_lokacije
Крушевац,Александровац,Александровац,ПУ Наша радост,Предшколска установа Наша радост,Болничка,3,37230,Матична локација
Ниш,Алексинац,Алексинац,ПУ Лане,ПУ ЛАНЕ Централни објекат,Мишићева,1,18220,Матична локација
Ниш,Алексинац,Алексинац,ПУ Лане,ПУ ЛАНЕ одељење у Гимназији,Тихомира Ђорђевића,бб,18220,Издвојена локација
Ниш,Алексинац,Алексинац,ПУ Лане,ПУ ЛАНЕ Објекат Гордана Брајовић Гоца,Лоле Рибара,6,18220,Издвојена локација
Ниш,Алексинац,Алексинац,ПУ Лане,ПУ ЛАНЕ - Зелена дружина,Књаза Милоша,бб,18220,Издвојена локација
Ниш,Алексинац,Алексинац,ПУ Лане,ПУ ЛАНЕ Објекат у Високој школи за образовање васпитача,Пиварска,бб,18220,Издвојена локација
Ниш,Алексинац,Алексиначки Рудник,ПУ Лане,ПУ ЛАНЕ Објекат на Алексиначком руднику,Трг рудара,бб,18226,Издвојена локација
Ниш,Алексинац,Бобовиште,ПУ Лане,ПУ ЛАНЕ Објекат у Бобовишту,Бобовиште,бб,18224,Издвојена локација
Ниш,Алексинац,Врћеновица,ПУ Лане,ПУ ЛАНЕ Објекат у Врћеновици,Врћеновица,бб,18221,Издвојена локација
Ниш,Алексинац,Глоговица,ПУ Лане,ПУ ЛАНЕ Објекат у Глоговици,Глоговица,бб,18220,Издвојена локација
Ниш,Алексинац,Гредетин,ПУ Лане,ПУ ЛАНЕ Објекат у Гредетину,Гредетин,бб,18213,Издвојена локација
Ниш,Алексинац,Грејач,ПУ Лане,ПУ ЛАНЕ Објекат у Грејачу,Грејач,бб,18212,Издвојена локација
Ниш,Алексинац,Добрујевац,ПУ Лане,ПУ ЛАНЕ Објекат у Добрујевцу,Добрујевац,бб,18225,Издвојена локација
Ниш,Алексинац,Житковац,ПУ Лане,ПУ ЛАНЕ Објекат у Житковцу - полудневни боравак,Стојана Јанићијевића,бб,18210,Издвојена локација
Ниш,Алексинац,Житковац,ПУ Лане,ПУ ЛАНЕ Објекат у Житковцу,Драгослава Вујића,19,18210,Издвојена локација
Ниш,Алексинац,Јаковље,ПУ Лане,ПУ ЛАНЕ Објекат у Јаковљу,Јаковље,бб,18213,Издвојена локација
Ниш,Алексинац,Корман,ПУ Лане,ПУ ЛАНЕ Објекат у Корману,Корман,бб,18216,Издвојена локација
Ниш,Алексинац,Краљево,ПУ Лане,ПУ ЛАНЕ Објекат у Краљеву,Краљево,бб,18220,Издвојена локација
Ниш,Алексинац,Лужане,ПУ Лане,ПУ ЛАНЕ Објекат у Лужану,Лужане,бб,18228,Издвојена локација
