uprava,opstina,naselje,ustanova,naziv,ulica,broj,postanski_broj,tip_lokacije
Kruševac,Aleksandrovac,Aleksandrovac,PU Naša radost,Predškolska ustanova Naša radost,Bolnička,3,37230,Matična lokacija
Niš,Aleksinac,Aleksinac,PU Lane,PU LANE Centralni objekat,Mišićeva,1,18220,Matična lokacija
Niš,Aleksinac,Aleksinac,PU Lane,PU LANE odeljenje u Gimnaziji,Tihomira Đorđevića,bb,18220,Izdvojena lokacija
Niš,Aleksinac,Aleksinac,PU Lane,PU LANE Objekat Gordana Brajović Goca,Lole Ribara,6,18220,Izdvojena lokacija
Niš,Aleksinac,Aleksinac,PU Lane,PU LANE - Zelena družina,Knjaza Miloša,bb,18220,Izdvojena lokacija
Niš,Aleksinac,Aleksinac,PU Lane,PU LANE Objekat u Visokoj školi za obrazovanje vaspitača,Pivarska,bb,18220,Izdvojena lokacija
Niš,Aleksinac,Aleksinački Rudnik,PU Lane,PU LANE Objekat na Aleksinačkom rudniku,Trg rudara,bb,18226,Izdvojena lokacija
Niš,Aleksinac,Bobovište,PU Lane,PU LANE Objekat u Bobovištu,Bobovište,bb,18224,Izdvojena lokacija
Niš,Aleksinac,Vrćenovica,PU Lane,PU LANE Objekat u Vrćenovici,Vrćenovica,bb,18221,Izdvojena lokacija
Niš,Aleksinac,Glogovica,PU Lane,PU LANE Objekat u Glogovici,Glogovica,bb,18220,Izdvojena lokacija
Niš,Aleksinac,Gredetin,PU Lane,PU LANE Objekat u Gredetinu,Gredetin,bb,18213,Izdvojena lokacija
Niš,Aleksinac,Grejač,PU Lane,PU LANE Objekat u Grejaču,Grejač,bb,18212,Izdvojena lokacija
Niš,Aleksinac,Dobrujevac,PU Lane,PU LANE Objekat u Dobrujevcu,Dobrujevac,bb,18225,Izdvojena lokacija
Niš,Aleksinac,Žitkovac,PU Lane,PU LANE Objekat u Žitkovcu - poludnevni boravak,Stojana Janićijevića,bb,18210,Izdvojena lokacija
Niš,Aleksinac,Žitkovac,PU Lane,PU LANE Objekat u Žitkovcu,Dragoslava Vujića,19,18210,Izdvojena lokacija
Niš,Aleksinac,Jakovlje,PU Lane,PU LANE Objekat u Jakovlju,Jakovlje,bb,18213,Izdvojena lokacija
Niš,Aleksinac,Korman,PU Lane,PU LANE Objekat u Kormanu,Korman,bb,18216,Izdvojena lokacija
Niš,Aleksinac,Kraljevo,PU Lane,PU LANE Objekat u Kraljevu,Kraljevo,bb,18220,Izdvojena lokacija
Niš,Aleksinac,Lužane,PU Lane,PU LANE Objekat u Lužanu,Lužane,bb,18228,Izdvojena lokacija
Niš,Aleksinac,Mozgovo,PU Lane,PU LANE Objekat u Mozgovu,Mozgovo,bb,18229,Izdvojena lokacija
Niš,Aleksinac,Moravac,PU Lane,PU LANE Objekat u Moravcu,Moravac,bb,18210,Izdvojena lokacija
Niš,Aleksinac,Prćilovica,PU Lane,PU LANE Objekat u Prćilovici,Prćilovica,bb,18210,Izdvojena lokacija
Niš,Aleksinac,Rutevac,PU Lane,PU LANE Objekat u Rutevcu,Rutevac,bb,18224,Izdvojena lokacija
Niš,Aleksinac,Subotinac,PU Lane,PU LANE Objekat u Subotincu,Subotinac,bb,18227,Izdvojena lokacija
Niš,Aleksinac,Tešica,PU Lane,PU LANE Objekat u Tešici,Tešica,bb,18212,Izdvojena lokacija
Niš,Aleksinac,Trnjane,PU Lane,PU LANE Objekat u Trnjanu,Trnjane,bb,18213,Izdvojena lokacija
Kragujevac,Aranđelovac,Aranđelovac,PU Duga,PREDŠKOLSKA USTANOVA DUGA,Knjaza Miloša,178,34300,Matična lokacija
Kragujevac,Aranđelovac,Aranđelovac,PU Duga,Vrtić Bubamara,Puškinova,bb,34300,Izdvojena lokacija
Kragujevac,Aranđelovac,Aranđelovac,PU Duga,Vrtić Osmeh,Cara Dušana,L-6,34300,Izdvojena lokacija
Kragujevac,Aranđelovac,Aranđelovac,PU Duga,Vrtić Sunce,Ratnih vojnih invalida,10,34300,Izdvojena lokacija
